created,username,source,text,retwc,hashtag,followers,friends,polarity,geolocation,geoenable
2021-06-28 11:12:03,Shoaib Daniyal,Twitter Web App,"RT @scroll_in: On Wednesday, RBI released data on household savings for the third quarter of 2020-’21. 

Numbers are disappointing with a s…",1,None,24851,1640,-0.3,India,False
2021-06-28 11:12:02,edinnews #FBPE #FBSI #FBPA 3.5% #Reform #Rejoin,Twitter Web App,"RT @Mistywoman1: I don't give a shit if you contract Covid, as a result of your vile, selfish attitude, but I do care about the people you…",39,None,4279,5002,-0.35,,False
2021-06-28 11:12:02,Trisha_is_back 🏳️‍🌈,Twitter for iPhone,RT @MeckeringBoy: A premier prepared to let the virus rip for political one-up-man-ship might have had something to do with the spread of c…,9,None,587,727,0.0,Brisbane,False
2021-06-28 11:12:02,odishaartisans,Twitter for iPhone,@SrBachchan Sir our weavers and artisans livelihood is at risk due to covid. Please do promote and support them. Un… https://t.co/5xxIovyIo4,0,None,11,63,-0.125,,False
2021-06-28 11:12:02,소연,Twitter for iPhone,"CDM government servants of Ministry of Agriculture, Livestock, and Irrigation,Department of Cooperatives are being… https://t.co/DZHoUL7FCc",0,None,13,56,0.0,,False
2021-06-28 11:12:02,Rupert Read 🌍,Twitter Web App,"RT @easysteps: ""As the world attempts to reset following the horrors of the COVID pandemic, this is our one unexpected last chance to final…",2,None,26911,999,0.025,Norwich,False
2021-06-28 11:12:02,Ravi Kumar chaurasia,Twitter for Android,"RT @akhileshsharma1: Dr Reddy's Announces Commercial Launch Of Covid Drug 2-DG, Caps Price https://t.co/MLjhEwFKL5 via @ndtv",15,None,264,446,0.0,"Bihar, India",False
2021-06-28 11:12:02,Professor. Meir Menachem Begin,Twitter for Android,RT @DogFaceSoldier: Meet Major Nguyen.  OIC of our lab at BDAACH.  One of the many unsung medical heroes of the COVID pandemic here at USFK…,7,None,46,1107,0.1875,"San Francisco, CA",True
2021-06-28 11:12:02,Hawk Eye🇮🇳,Twitter for Android,RT @blsanthosh: Credit guarantee scheme announced by FM @nsitharaman to facilitate loans up to ₹1.25L to 25 lakh persons thru’ MFI . Intere…,92,None,48,548,0.0,India,False
2021-06-28 11:12:02,cassma,Twitter for Android,RT @MailOnline: Merkel starts her bid today to BAN British holidaymakers from EU whether they have had Covid jab or not https://t.co/wt5rj8…,62,None,52,184,0.0,"Living in Paradise, UK",False
2021-06-28 11:12:02,I Will,Twitter for Android,"RT @LauraMiti: We are losing loved ones not only to COVID but to unspeakable neglect arising from a critical shortage of staff, medication,…",52,None,290,478,0.2333333333333333,Zambia,False
